Player Name,Batting Type,Hand,Pitching Type,Hand Bonus,Season,bruh,,,,
Syd Kidd,Contact,Left,Balanced,,1,,,,,
Einhorn,Contact,Right,Strikeout,,1,,,,,
Garren Smudge,Neutral,Left,,,1,,,,,
Burt Maclin,Power,Left,,,1,,,,,
Luis Flemus,Neutral,Left,,,1,,,,,
I.M. Organic,Power,Right,,,1,,,,,
Will Power,Neutral,Right,,,1,,,,,
Brent Royal,Power,Left,,,1,,,,,
Tsar Zaar,Contact,Right,,,1,,,,,
Rico Veringhipster,Contact,Left,,,1,,,,,
Cook Froster,Contact,Right,,,1,,,,,
Assassin Panda,Power,Left,,,1,,,,,
A.Z. Chapman,Power,Right,,,1,,,,,
S.K. Brettbug,Contact,Left,,,1,,,,,
Garrett Ipnov,Contact,Right,,,1,,,,,
Junks Tandem,Neutral,Right,Strikeout,,1,,,,,
Cal Tiberius Jr.,Neutral,Left,Finesse,,1,,,,,
Matt Carver,Contact,Left,Strikeout,,1,,,,,
Y.E. Wally,Power,Right,,,1,,,,,
Len Monz,Neutral,Right,,,1,,,,,
Jay Lupp,Contact,Left,,,1,,,,,
Trey Rangers,Neutral,Right,,,1,,,,,
Charles Lindberg,Power,Left,,,1,,,,,
Phil Coulson,Contact,Left,,,1,,,,,
H.B. Boink,Contact,Right,,,1,,,,,
Matt Verdin,Neutral,Right,,,1,,,,,
Sadler Oriole,Contact,Right,,,1,,,,,
C.J. Bastian,Power,Left,,,1,,,,,
Jake Blee,Power,Right,,,1,,,,,
Rob Pancakes,Contact,Left,Strikeout,,1,,,,,
Chipper Dipper,Neutral,Right,,,1,,,,,
Indy Sayne,Contact,Right,,,1,,,,,
Johnny Dickshot,Power,Right,,,1,,,,,
Clipper Charge,Contact,Right,,,1,,,,,
Ludd van Shark,Neutral,Right,,,1,,,,,
Sam Smith,Power,Right,,,1,,,,,
Eric Sluver,Contact,Right,,,1,,,,,
Bernie Petrol,Neutral,Right,,,1,,,,,
Randy Nummer,Neutral,Left,,,1,,,,,
Clark Web,Neutral,Left,,,1,,,,,
Meerkat Timmons,Contact,Right,,,1,,,,,
Whit Merto,Contact,Right,,,1,,,,,
Big Tuna,Neutral,Right,Balanced,,1,,,,,
Bartholemew Masters,Neutral,Left,Strikeout,,1,,,,,
BB Bambino Jr.,Contact,Right,,,1,,,,,
Valentino Rollin,Power,Left,,,1,,,,,
King Fielder,Power,Right,,,1,,,,,
Merodach Baladan,Contact,Right,,,1,,,,,
Casey Nine,Contact,Left,,,1,,,,,
Martin Barnar,Power,Right,,,1,,,,,
Mason Spurs,Contact,Left,,,1,,,,,
Morris Deratt,Neutral,Left,,,1,,,,,
Sevag Vapor,Contact,Right,,,1,,,,,
Otis Nixon Sr.,Power,Left,,,1,,,,,
Lightning Balls,Contact,Right,,,1,,,,,
Willoughby Hoose,Power,Left,Strikeout,,1,,,,,
Whitt Bass,Contact,Right,Finesse,,1,,,,,
Lemmy Fraser,Neutral,Right,,,1,,,,,
Jay Money,Contact,Right,,,1,,,,,
Jasper Orbit,Contact,Left,,,1,,,,,
Derek Bongiovanni,Contact,Right,,,1,,,,,
Jimbo Fishy,Contact,Right,,,1,,,,,
Chester Facto,Contact,Right,,,1,,,,,
Autumn Halladay,Contact,Left,,,1,,,,,
Jacques Blaque,Neutral,Right,,,1,,,,,
Riles McGiles,Contact,Right,,,1,,,,,
Buck Cheeks,Power,Left,,,1,,,,,
Quint Kimbrel,Contact,Left,,,1,,,,,
Triston Uzumaki,Contact,Right,,,1,,,,,
Chris Keebler,Neutral,Right,,,1,,,,,
Hudson Quin,Power,Left,Strikeout,,1,,,,,
Pablo Sanchez,Neutral,Right,Balanced,,1,,,,,
Tim Burr,Contact,Right,Finesse,,1,,,,,
Twinkie Power,Neutral,Left,,,1,,,,,
Holden Ryder,Power,Right,,,1,,,,,
Travis Hanky,Neutral,Left,,,1,,,,,
Dark Bobman,Contact,Right,,,1,,,,,
Ron Eagle,Contact,Right,,,1,,,,,
Shiny Tenson,Neutral,Right,,,1,,,,,
Mike Cal,Contact,Right,,,1,,,,,
"Jake ""JP"" Panik",Power,Left,,,1,,,,,
Jack Marnette,Contact,Right,,,1,,,,,
Daz Reference,Neutral,Right,,,1,,,,,
Pete Wheeler,Power,Right,,,1,,,,,
